route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Ahmedabad-Mumbai,2025-05-05,2.59,+5.7% vs this route's past average,-0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-05-05,2.55,+6.2% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-05-05,2.91,+5.9% vs this route's past average,-7.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-05-05,3.13,+6.1% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-05-05,2.12,+5.9% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-05-05,2.66,+6.2% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-05-05,2.17,+5.7% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-05-05,3.18,+6.1% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-05-12,2.59,+4.9% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-05-12,2.53,+4.6% vs this route's past average,-3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-05-12,2.91,+5.1% vs this route's past average,-7.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-05-12,3.10,+4.2% vs this route's past average,+1.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-05-12,2.12,+5.1% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-05-12,2.64,+4.5% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-05-12,2.17,+4.9% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-05-12,3.18,+5.3% vs this route's past average,+5.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-05-19,2.60,+4.5% vs this route's past average,-0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-05-19,2.56,+5.1% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-05-19,2.91,+4.4% vs this route's past average,-8.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-05-19,3.14,+5.0% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-05-19,2.13,+4.9% vs this route's past average,-1.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-05-19,2.67,+5.0% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-05-19,2.17,+4.2% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-05-19,3.20,+5.1% vs this route's past average,+5.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-05-26,2.58,+3.0% vs this route's past average,-1.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-05-26,2.55,+3.9% vs this route's past average,-2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-05-26,2.90,+3.3% vs this route's past average,-7.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-05-26,3.13,+3.8% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-05-26,2.12,+3.7% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-05-26,2.66,+3.8% vs this route's past average,+3.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-05-26,2.17,+3.6% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-05-26,3.16,+3.0% vs this route's past average,+4.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-06-02,2.59,+2.8% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-06-02,2.56,+3.4% vs this route's past average,-2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-06-02,2.91,+3.1% vs this route's past average,-7.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-06-02,3.11,+2.4% vs this route's past average,+1.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-06-02,2.12,+3.0% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-06-02,2.64,+2.2% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-06-02,2.19,+3.9% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-06-02,3.20,+3.6% vs this route's past average,+6.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-06-09,2.60,+2.6% vs this route's past average,+0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-06-09,2.53,+1.5% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-06-09,2.88,+1.2% vs this route's past average,-8.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-06-09,3.12,+2.0% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-06-09,2.12,+2.1% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-06-09,2.64,+1.6% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-06-09,2.17,+2.1% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-06-09,3.20,+2.8% vs this route's past average,+6.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-06-16,2.60,+1.8% vs this route's past average,+0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-06-16,2.56,+2.0% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-06-16,2.89,+0.9% vs this route's past average,-8.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-06-16,3.16,+2.6% vs this route's past average,+4.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-06-16,2.13,+1.9% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-06-16,2.64,+1.1% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-06-16,2.18,+1.8% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-06-16,3.17,+1.0% vs this route's past average,+4.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-06-23,2.60,+1.1% vs this route's past average,+0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-06-23,2.54,+0.4% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-06-23,2.93,+1.7% vs this route's past average,-7.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-06-23,3.14,+1.1% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-06-23,2.12,+0.6% vs this route's past average,-1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-06-23,2.65,+0.7% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-06-23,2.16,+0.1% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-06-23,3.20,+1.3% vs this route's past average,+5.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-06-30,2.59,-0.1% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-06-30,2.55,+0.1% vs this route's past average,-2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-06-30,2.91,+0.2% vs this route's past average,-7.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-06-30,3.10,-0.9% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-06-30,2.13,+0.4% vs this route's past average,-1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-06-30,2.65,+0.0% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-06-30,2.16,-0.6% vs this route's past average,+1.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-06-30,3.16,-0.8% vs this route's past average,+5.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-07-07,2.61,+0.6% vs this route's past average,+0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-07-07,2.54,-0.3% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-07-07,2.93,+0.9% vs this route's past average,-6.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-07-07,3.12,-0.2% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-07-07,2.11,-0.6% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-07-07,2.65,+0.0% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-07-07,2.18,+0.4% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-07-07,3.15,-1.1% vs this route's past average,+4.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-07-14,2.59,-0.2% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-07-14,2.53,-0.7% vs this route's past average,-3.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-07-14,2.91,+0.1% vs this route's past average,-7.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-07-14,3.11,-0.6% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-07-14,2.12,-0.1% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-07-14,2.66,+0.4% vs this route's past average,+3.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-07-14,2.17,-0.1% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-07-14,3.18,+0.0% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-07-21,2.59,-0.2% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-07-21,2.55,+0.2% vs this route's past average,-2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-07-21,2.92,+0.4% vs this route's past average,-7.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-07-21,3.14,+0.5% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-07-21,2.12,-0.1% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-07-21,2.65,+0.0% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-07-21,2.19,+0.8% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-07-21,3.16,-0.6% vs this route's past average,+4.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-07-28,2.61,+0.5% vs this route's past average,-0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-07-28,2.56,+0.6% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-07-28,2.92,+0.3% vs this route's past average,-7.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-07-28,3.12,-0.2% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-07-28,2.12,-0.1% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-07-28,2.66,+0.5% vs this route's past average,+2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-07-28,2.17,-0.2% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-07-28,3.17,-0.2% vs this route's past average,+5.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-08-04,2.60,+0.0% vs this route's past average,+0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-08-04,2.54,-0.2% vs this route's past average,-3.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-08-04,2.91,-0.0% vs this route's past average,-8.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-08-04,3.15,+0.8% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-08-04,2.14,+0.9% vs this route's past average,-1.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-08-04,2.66,+0.4% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-08-04,2.18,+0.3% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-08-04,3.20,+0.8% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-08-11,2.60,+0.0% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-08-11,2.56,+0.5% vs this route's past average,-2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-08-11,2.93,+0.5% vs this route's past average,-7.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-08-11,3.12,-0.3% vs this route's past average,+2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-08-11,2.12,-0.2% vs this route's past average,-2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-08-11,2.65,-0.1% vs this route's past average,+2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-08-11,2.18,+0.3% vs this route's past average,+2.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-08-11,3.18,+0.2% vs this route's past average,+5.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-08-18,2.60,+0.0% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-08-18,2.54,-0.2% vs this route's past average,-3.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-08-18,2.93,+0.3% vs this route's past average,-7.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-08-18,3.14,+0.5% vs this route's past average,+2.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-08-18,2.13,+0.4% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-08-18,2.67,+0.6% vs this route's past average,+3.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-08-18,2.18,+0.3% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-08-18,3.19,+0.5% vs this route's past average,+5.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-08-25,2.59,-0.3% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-08-25,2.53,-0.6% vs this route's past average,-3.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-08-25,2.95,+1.0% vs this route's past average,-6.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-08-25,3.14,+0.5% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-08-25,2.11,-0.6% vs this route's past average,-3.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-08-25,2.67,+0.5% vs this route's past average,+4.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-08-25,2.18,+0.2% vs this route's past average,+3.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-08-25,3.19,+0.5% vs this route's past average,+4.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-09-01,2.60,+0.0% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-09-01,2.54,-0.1% vs this route's past average,-3.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-09-01,2.92,-0.2% vs this route's past average,-7.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-09-01,3.12,-0.3% vs this route's past average,+2.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-09-01,2.13,+0.4% vs this route's past average,-1.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-09-01,2.67,+0.4% vs this route's past average,+3.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-09-01,2.17,-0.4% vs this route's past average,+1.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-09-01,3.17,-0.2% vs this route's past average,+5.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-09-08,2.60,+0.1% vs this route's past average,+0.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-09-08,2.52,-0.9% vs this route's past average,-4.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-09-08,2.92,-0.1% vs this route's past average,-7.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-09-08,3.12,-0.3% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-09-08,2.14,+0.8% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-09-08,2.65,-0.4% vs this route's past average,+3.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-09-08,2.19,+0.6% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-09-08,3.18,-0.0% vs this route's past average,+5.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-09-15,2.59,-0.3% vs this route's past average,-0.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-09-15,2.53,-0.5% vs this route's past average,-3.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-09-15,2.89,-1.2% vs this route's past average,-18.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-09-15,3.14,+0.3% vs this route's past average,-8.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-09-15,2.13,+0.2% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-09-15,2.66,+0.0% vs this route's past average,+3.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-09-15,2.18,+0.0% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-09-15,3.97,+24.8% vs this route's past average,+31.7% vs similar-length routes this week,Yes,,"The closest note (N006, 2025-09-22) mentions a logistics industry report noted overall demand for freight capacity remained stable this quarter with no major disruptions reported -- it does not describe a reason for a cost rise on this route. No genuine justification found; flagged for review."
Ahmedabad-Mumbai,2025-09-22,2.59,-0.3% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-09-22,2.55,+0.4% vs this route's past average,-2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-09-22,2.89,-1.1% vs this route's past average,-8.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-09-22,3.11,-0.7% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-09-22,2.11,-0.8% vs this route's past average,-3.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-09-22,2.65,-0.4% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-09-22,2.19,+0.5% vs this route's past average,+3.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-09-22,3.19,-2.8% vs this route's past average,+6.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-09-29,2.58,-0.6% vs this route's past average,-1.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-09-29,2.56,+0.8% vs this route's past average,-2.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-09-29,2.92,+0.1% vs this route's past average,-7.2% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-09-29,3.13,-0.0% vs this route's past average,+3.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-09-29,2.11,-0.8% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-09-29,2.65,-0.4% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-09-29,2.16,-1.0% vs this route's past average,+2.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-09-29,3.16,-3.8% vs this route's past average,+4.5% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-10-06,2.61,+0.6% vs this route's past average,-0.4% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-10-06,2.57,+1.1% vs this route's past average,-2.7% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-10-06,2.89,-1.0% vs this route's past average,-8.8% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Jaipur,2025-10-06,3.15,+0.7% vs this route's past average,+3.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Delhi-Kolkata,2025-10-06,2.13,+0.4% vs this route's past average,-2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Kolkata-Bhubaneswar,2025-10-06,2.67,+0.4% vs this route's past average,+3.1% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Delhi,2025-10-06,2.18,+0.1% vs this route's past average,+2.3% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Mumbai-Pune,2025-10-06,3.19,-2.7% vs this route's past average,+5.6% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Ahmedabad-Mumbai,2025-10-13,2.58,-0.6% vs this route's past average,+0.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Bangalore-Hyderabad,2025-10-13,2.53,-0.5% vs this route's past average,-2.9% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
Chennai-Bangalore,2025-10-13,2.91,-0.1% vs this route's past average,-7.0% vs similar-length routes this week,No,,Cost is within normal historical baseline and peer group range.
